"Date","DJIA"
"12/31/1969","800.36"
"1/2/1970","809.2"
"1/5/1970","811.31"
"1/6/1970","803.66"
"1/7/1970","801.81"
"1/8/1970","802.07"
"1/9/1970","798.11"
"1/12/1970","790.52"
"1/13/1970","788.01"
"1/14/1970","787.16"
"1/15/1970","785.04"
"1/16/1970","782.6"
"1/19/1970","776.07"
"1/20/1970","777.85"
"1/21/1970","782.27"
"1/22/1970","786.1"
"1/23/1970","775.54"
"1/26/1970","768.88"
"1/27/1970","763.99"
"1/28/1970","758.84"
"1/29/1970","748.35"
"1/30/1970","744.06"
"2/2/1970","746.44"
"2/3/1970","757.46"
"2/4/1970","754.49"
"2/5/1970","750.26"
"2/6/1970","752.77"
"2/9/1970","755.68"
"2/10/1970","746.63"
"2/11/1970","757.33"
"2/12/1970","755.61"
"2/13/1970","753.3"
"2/16/1970","753.7"
"2/17/1970","747.43"
"2/18/1970","756.8"
"2/19/1970","757.92"
"2/20/1970","757.46"
"2/24/1970","754.42"
"2/25/1970","768.28"
"2/26/1970","764.45"
"2/27/1970","777.59"
"3/2/1970","780.23"
"3/3/1970","787.42"
"3/4/1970","788.15"
"3/5/1970","787.55"
"3/6/1970","784.12"
"3/9/1970","778.31"
"3/10/1970","779.7"
"3/11/1970","778.12"
"3/12/1970","776.47"
"3/13/1970","772.11"
"3/16/1970","765.05"
"3/17/1970","767.42"
"3/18/1970","767.95"
"3/19/1970","764.98"
"3/20/1970","763.66"
"3/23/1970","763.6"
"3/24/1970","773.76"
"3/25/1970","790.13"
"3/26/1970","791.05"
"3/30/1970","784.65"
"3/31/1970","785.57"
"4/1/1970","792.04"
"4/2/1970","792.37"
"4/3/1970","791.84"
"4/6/1970","791.18"
"4/7/1970","791.64"
"4/8/1970","791.64"
"4/9/1970","792.5"
"4/10/1970","790.46"
"4/13/1970","785.9"
"4/14/1970","780.56"
"4/15/1970","782.6"
"4/16/1970","775.87"
"4/17/1970","775.94"
"4/20/1970","775.87"
"4/21/1970","772.51"
"4/22/1970","762.61"
"4/23/1970","750.59"
"4/24/1970","747.29"
"4/27/1970","735.15"
"4/28/1970","724.33"
"4/29/1970","737.39"
"4/30/1970","736.07"
"5/1/1970","733.63"
"5/4/1970","714.56"
"5/5/1970","709.74"
"5/6/1970","718.39"
"5/7/1970","723.07"
"5/8/1970","717.73"
"5/11/1970","710.07"
"5/12/1970","704.59"
"5/13/1970","693.84"
"5/14/1970","684.79"
"5/15/1970","702.22"
"5/18/1970","702.81"
"5/19/1970","691.4"
"5/20/1970","676.55"
"5/21/1970","665.25"
"5/22/1970","662.17"
"5/25/1970","641.36"
"5/26/1970","631.16"
"5/27/1970","663.2"
"5/28/1970","684.15"
"5/29/1970","700.44"
"6/1/1970","710.36"
"6/2/1970","709.61"
"6/3/1970","713.86"
"6/4/1970","706.53"
"6/5/1970","695.03"
"6/8/1970","700.23"
"6/9/1970","700.16"
"6/10/1970","694.35"
"6/11/1970","684.42"
"6/12/1970","684.21"
"6/15/1970","687.36"
